version=2007022703
T50	CESSNA AIRCRAFT COMPANY (USA)	T-50 Bobcat (AT-8, AT-17, UC-78,Crane)	2	P	S	0	0	II
CDC6	CESSNA AIRCRAFT COMPANY (USA)	DC-6	1	P	S	0	0	I
CMAS	CESSNA AIRCRAFT COMPANY (USA)	C-343738145165, Airmaster	1	P	S	0	0	I
HUSK	CHRISTEN INDUSTRIES, INC. (USA)	A-1 Huskey	1	P	S	1500	1500	I
SR20	CIRRUS (USA)	SR-20, SR-20 SRV, SRV	1	P	S	0	0	I
SR22	CIRRUS (USA)	SR-22	1	P	S	0	0	I
VK3P	CIRRUS (USA)	VK-30 Cirrus	1	P	S	0	0	I
C212	CONSTRUCCIONES AERONAUTICAS (CASA) (Spain)	C-212 Aviocar (T-12, TE-12, TR-12,D-3, Tp89)	2	T	S+	900	900	III
C46	CURTISS-WRIGHT CORP. (USA)	C-46 Commando (CW-20)	2	P	L	600	700	III
ATLA	DASSAULT-BREGUET (France)	1150 Atlantic, Altantique 2	2	T	L	0	0	III
AJET	DASSAULT-BREGUET (France)	Alpha Jet	2	J	S	0	0	III
FA10	DASSAULT-BREGUET (France)	Falcon 10100, Mystere 10100	2	J	S+	2300	1600	III
FA20	DASSAULT-BREGUET (France)	Falcon 20100, Mystere 20200,Gardian (HU-25, (T-11, TM-11)	2	J	S+	2000	2200	III
FA50	DASSAULT-BREGUET (France)	Falcon 50, Mystere 50 (T-16)	3	J	S+	1800	1600	III
F900	DASSAULT-BREGUET (France)	Falcon 900, Mystere 900 (T-18)	3	J	L	2000	1700	III
F2TH	DASSAULT-BREGUET (France)	Falcon 2000	2	J	S+	2500	1500	III
JAGR	DASSAULT-BREGUET (France)	Jaguar	2	J	S+	0	0	III
MIR2	DASSAULT-BREGUET (France)	Mirage 2000, Vajara	1	J	S+	0	0	III
MIRA	DASSAULT-BREGUET (France)	Mirage 3550 (F-103)	1	J	S+	0	0	III
